Review,keyphrases,Topic_Name,Score,Document_ID
"What is the best part of working at the company? Being a station head at Port Blair during the pandemic Covid 19 it was challanging for me to take crucial decision to handle in customer handling.

What is the most stressful part about working at the company?
Flight disruption in covid situation.

What is the work environment and culture like at the company?
to give maximum empowerment to airport managers to resolve customer satisfaction.

What is a typical day like for you at the company?
Every day itself is a challenging at airport.","the best part, the company, a station head, Port Blair, the pandemic Covid, crucial decision, customer handling, the most stressful part, the company, Flight disruption, covid situation, the work environment, culture, the company, maximum empowerment, airport managers, customer satisfaction, a typical day, the company, Every day, airport",Company Culture and Management,0.1918820741345686,191
"Good company with good work culture,learning new things Loved the time I spent there. Management is open to new idea and friendly. Workplace culture is good and colleagues are open to offer help when. Fun, games. Healthcare","Good company, good work culture, new things, Management, new idea, Workplace culture, colleagues, help, Fun, games, Healthcare",Company Culture and Management,0.3878764040503087,192
Good working environment... Focus work along work life balance... Clean site... Good appraisal... Continues skill training more family benefit. Good working culture.. Getting together for families.. Good township,"Good working environment, Focus work, work life balance, Clean site, Good appraisal, skill training, more family benefit, Good working culture, families, Good township",Work-Life Balance,0.2919861840536461,193
Average work place to grow. Not too much opportunity as well as salary structure is also not as much good. Limited skills to learn working atmosphere is good,"Average work place, Not too much opportunity, salary structure, Limited skills, working atmosphere",Salary and Benefits,0.13720501618022354,194
Mera review is group me best rha ya mene work form home se job karna pasand kara or is group ki salary bhi acchi hai Adani group is best. Free lunch. Short break,"Mera review, group, best rha ya mene work form, home se job karna, kara, group ki salary bhi acchi hai Adani group, Free lunch, Short break",Job Security,0.09540616434845936,195
"great place to work, you can join with no doubt. GET period is on le of the best period. no organisation gives you same learning as it gives you. staff is great.","no doubt, GET period, the best period, no organisation, same learning, staff",Work-Life Balance,0.0,196
Ex NSG commando with pistal PSO jobs and all vichel DVR. Food. Any problem,"Ex NSG commando, pistal PSO jobs, all vichel DVR, Food, Any problem",Work-Life Balance,0.0,197
"In addition to being good for your workers' physical and mental health, effective employee engagement can deliver trickle-down benefits for the whole company, including: Better communication.","addition, your workers' physical and mental health, effective employee engagement, trickle-down benefits, the whole company, Better communication",Salary and Benefits,0.17061260992861388,198
Good company environment good working 3is good salary is already involved with limits everything is fine working hours are food environment good no issue,"Good company environment, good working 3is good salary, limits, fine working hours, food environment",Salary and Benefits,0.09908580966532306,199
"What is the best part of working at the company? Need for Technology to keep up with Business development. Vast opportunity to learn new Technology as solutions for a very fast growing Organization

What is the most stressful part about working at the company?
No Stress at all when you are working, learning and Implementing Technology

What is the work environment and culture like at the company?
Work environment is of Results and Culture is developing as it is growing and young blood coming

What is a typical day like for you at the company?
Morning Project reviews, work during the day monitoring projects and Evening Daily project briefing","the best part, the company, Technology, Business development, Vast opportunity, new Technology, solutions, a very fast growing Organization, the most stressful part, the company, No Stress, Technology, the work environment, culture, the company, Work environment, Results, Culture, young blood, a typical day, the company, Morning Project reviews, the day monitoring projects, Evening Daily project briefing",Company Culture and Management,0.21794976962072915,200
"Accomodation at Adani Township is provided at Samudra Colony, Mundra. I got campus placement.","Accomodation, Adani Township, Samudra Colony, Mundra, campus placement",Work-Life Balance,0.0,201
"Productive, Supporting, but less pay and progress. Supporting, additional perks. Less pay, Slow progress","Productive, less pay, progress, additional perks, Less pay, Slow progress",Work-Life Balance,0.0,202
"Good area to working.


Good benefits and transportation facilities is there. Yearly get to gather programs is there.
Evidyalaya program there.

Over all good.","Good area, Good benefits, transportation facilities, programs, Evidyalaya program",Salary and Benefits,0.14653674052922866,203
As a learner i had good exposure but as manager i was not allowed with free hands to perform my duties upto concern's expectation. With free hands as team we would could have optimized operation cost in much more better way. More over one man show partice is big hick up for team palyers. Good pay master,"a learner, good exposure, manager, free hands, my duties, upto concern's expectation, free hands, team, operation cost, much more better way, More over one man show partice, big hick, team palyers, Good pay master",Work-Life Balance,0.0,204
"Good area to working.


Good benefits and transportation facilities is there. Yearly get to gather programs is there.
Evidyalaya program there.

Over all good.","Good area, Good benefits, transportation facilities, programs, Evidyalaya program",Salary and Benefits,0.14653674052922866,205
As a learner i had good exposure but as manager i was not allowed with free hands to perform my duties upto concern's expectation. With free hands as team we would could have optimized operation cost in much more better way. More over one man show partice is big hick up for team palyers.,"a learner, good exposure, manager, free hands, my duties, upto concern's expectation, free hands, team, operation cost, much more better way, More over one man show partice, big hick, team palyers",Work-Life Balance,0.0,206
"Senior management is supportive, company policies are good, work life balance is good, weekly and other offs, salary timing is perfect, work hours are flexible","Senior management, company policies, work life balance, good, weekly and other offs, salary timing, work hours",Work-Life Balance,0.4688909136178669,207
"Interview process was good, it was quick and very technical. At HR was leadership related. Many interviews and time-consuming processes. Need to work on this. Professional","Interview process, HR, Many interviews, time-consuming processes",Work-Life Balance,0.0,208
Company is good but chances of promotion prospect..is very less ..moreover biasness more prevailed in the organisation. Development on HR policy need to be done.,"Company, chances, promotion prospect, the organisation, Development, HR policy",Company Culture and Management,0.13589673212191528,209
As per learning part never to give up from works. As per management is good it is thinking for employee. Workplace culture has to adoptive in every organization. Hardest part of job is working on Saturday & Sunday even holiday but relax part taken other day leave. Working with our team that the enjoyable part of the job.,"works, management, employee, Workplace culture, every organization, Hardest part, job, Saturday, Sunday, our team, the job",Job Security,0.263986237814976,210
6 days a week is too tidy.The job is totally based on boss. If boss is not good than life is tough. Do homework before joining. Location is constraint.,"6 days, The job, boss, boss, life, homework, Location",Job Security,0.1731285410789098,211
"Management is good. Growth in the company is not good. It takes decades to get promoted. Management do not invest in the people. As a result, apart from the people from hometown location, many people leave the company.","Management, Growth, the company, decades, Management, the people, a result, the people, hometown location, many people, the company",Company Culture and Management,0.2746776509460937,212
"Fast growing. Ample opportunity. Less manpower so might be stressful and overload sometime. Resources ful Multi locations and multi business Need to have more manpower as less strength increases stress in existing one. Growth, learning, no limit.","Ample opportunity, Less manpower, Resources ful Multi locations, multi business, more manpower, as less strength, stress, Growth, learning, no limit",Work-Life Balance,0.0,213
"Adani group company is good, whoever has to do that work, can go for solar panel work, there will be many jobs in it. No. Yes","Adani group company, that work, solar panel work, many jobs",Work-Life Balance,0.20429394305933896,214
"Excellant work place to work, system has to be maintained , strictly adhere to company policy & system , Dress code is mandatory to all level , Any challenge work can be done, only result should be 100 %","Excellant work place, work, system, company policy, system, Dress code, all level, Any challenge work, only result, 100 %",Work-Life Balance,0.2072156964891631,215
"Working in Adani greens ltd is one of a life time experience, senior are very helpfull, higher management is so coorporative and you best of the lodging and fooding facilities.","Adani greens ltd, a life time experience, higher management, the lodging and fooding facilities",Company Culture and Management,0.1662189042502758,216
"Good place to work in peaceful indeed,fun filled creatively and curated office for peers.all staffs friendly nd got to learn a lot.for newbie great place. Long","Good place, fun, office, peers.all staffs, nd, a lot.for newbie great place",Work-Life Balance,0.0,217
"Established brand in market. Given o[opportunity to work on latest technology. Management, Benefits, compensation are excellent. But Work life balance can be looked, rest a great company to work","brand, market, o[opportunity, latest technology, Management, Benefits, compensation, Work life balance, a great company",Work-Life Balance,0.41454718337026353,218
"Overall good experience working with the company , if you're just starting the career. Leaves - Cannot put as and when required Day/night shifts , sometimes 12 hour duty. Salary isn't on par with standards. Good seniors Average management . If you love to be in remote locations then can apply .","Overall good experience, the company, the career, Leaves, when required Day/night shifts, sometimes 12 hour duty, Salary, par, standards, Good seniors, remote locations",Salary and Benefits,0.0915618155570625,219
Adani company bahut achcha company hai ham bhi soch rahe hain ismein achcha naukari karne ka mauka mile. Sab kuchh milta hai. Nuksan to kuchh bhi nahin hai,"Adani company, achcha company hai ham bhi soch, rahe, naukari karne ka mauka mile, Sab kuchh milta hai, Nuksan, bhi nahin hai",Company Culture and Management,0.14185520164948806,220
It's good to consider it as required skills can be delivered on time. One can develop his skills and enthusiasm and dedication all with lot of opportunities,"required skills, time, his skills, enthusiasm, dedication, lot, opportunities",Work-Life Balance,0.0,221
"nothing much at aprl management not good contractor driven management contractor is powerful, they complain false and u lost ur job nothing much at aprl management not good contractor driven management","aprl management, not good contractor driven management contractor, u, job, aprl management, not good contractor driven management",Company Culture and Management,0.2596732252782136,222
Loved the time I spent there. Management is open to new idea and friendly. Workplace culture is good and colleagues are open to offer help when needed.,"Management, new idea, Workplace culture, colleagues, help",Company Culture and Management,0.32860034091062545,223
"Everything is good but salary structure is below market rate as compared to good other companies, you can stay here after age of 40 to 45 year for a long time even also you can plan your retirement in this group.","salary structure, market rate, good other companies, age, 40 to 45 year, a long time, your retirement, this group",Salary and Benefits,0.1139105022946709,224
Over all standards good learning aspects so with depth of business detail oriented .Every year appreciation with company standard policy. Good learning curve under pressure work culture,"all standards, depth, year appreciation, company standard policy, Good learning curve, pressure work culture",Company Culture and Management,0.2312222625824299,225
We will get an opportunity to interact with Senior Management up to the CEO level. Open to new Ideas & Implements Work culture is good Will get Training & Self-improvements. ,"an opportunity, Senior Management, the CEO level, new Ideas & Implements Work culture, Training, Self-improvements",Company Culture and Management,0.22273819113148896,226
"Great work culture, doable workload, a little toxic, diversity issue though, pay parity is huge, people are usually supportive but there is man power crunch. Good peers. Lala company","Great work culture, doable workload, a little toxic, diversity issue, pay parity, people, man power crunch, Good peers, Lala company",Company Culture and Management,0.19625059218473453,227
"If you need a place with less pressure and work life balance, if location is not your preference then adani solar is for you.

Township and SEZ area is developed nicely.","a place, less pressure, life balance, location, your preference, Township and SEZ area",Work-Life Balance,0.293443865643008,228
"Good organization as a base on system manegent, salary on time before end of the month, employee Friendly, working culture are on latest system. I am very happy and proud feel .","Good organization, a base, system manegent, salary, time, end, the month, employee, , working culture, latest system, very happy and proud feel",Salary and Benefits,0.1532169626621298,229
"Adani is a reputed group, ejoyed a lot while working here, but there are some constraints which lets people to move out. Such as lot of extra works which is out of JD or terms of employment as mentioned in offer letter. No extra benefits to take over additional responsibilities. Lack of houses in township, lack for parking sheds in township, medical facilities are chargable.","Adani, a reputed group, a lot, some constraints, people, lot, extra works, JD, employment, offer letter, No extra benefits, additional responsibilities, houses, township, parking sheds, township, medical facilities",Salary and Benefits,0.08510623367066188,230
The company has a big brand associated with it it is very tough to crack the interview as you only get selected if you have reference but overall if you get good position just go to get associated,"The company, a big brand, the interview, reference, good position",Company Culture and Management,0.12031284450722007,231
"Offers good salary Good industry exposure State of Art Head Quarter.. Work culture a bit tough, six days a week working, Long procedures","good salary Good industry exposure, Art, Work culture, Long procedures",Salary and Benefits,0.14523496753510223,232
Good company to work in india. It is having lot of policies which are very flexible and always an employee centric company looking for opportunities in it.,"Good company, india, lot, policies, always an employee centric company, opportunities",Company Culture and Management,0.2294449270218993,233
"The employees working here are facing the most difficult time of their time at Adani. Most of the employees are very insecure about their job, they are not given freedom at work and also at township","The employees, the most difficult time, their time, Adani, the employees, their job, freedom, work, township",Job Security,0.1016720040419935,234
Stressful and no ethical work culture. Moto is to just earn money. No employee value. No benefits for employees. I didn't found any keen employee for company. Nothing,"Stressful and no ethical work culture, Moto, money, No employee value, No benefits, employees, any keen employee, company",Company Culture and Management,0.2091603147839127,235
"No job security & having no clear anytime you can fired from job.lack of clarity about management vision,HR policy leads to high attrition rate.Employees have the fear to loose job anytime.","No job security, job.lack, clarity, management vision, HR policy, high attrition rate, Employees, the fear, job",Job Security,0.5306004003255564,236
Not good for working professional.If you want stable career please choose another company as Adani is not safe in terms of job security and advance skill,"stable career, another company, Adani, terms, job security, advance skill",Job Security,0.39671710391459103,237
"Follow safety in plant Compelsary and PPEand good team work in place all employees friendly treat I worked and maintenance acb, inverter, idt, module, observed crossing , module clean, tilting work. No. Long hours","safety, plant Compelsary, PPEand good team, place, all employees, friendly treat, Long hours",Work-Life Balance,0.0,238
Good company Work not hard Management good Staff skill good Traveling 1 hours is difficult in job Work shift time 8 hours Company work normal no hard. No. Yes,"Good company, 1 hours, job Work shift time, Company",Company Culture and Management,0.27903895024845843,239
Compnis of Adani group is Nice place to work and boost your career bt if you are working with as an off roll employee there is less benefits for you. So according to me if You want to work with Adani Group then try to select as an on roll employee. Free transport,"Compnis, Adani, group, Nice place, your career, an off roll employee, less benefits, Adani Group, roll employee, Free transport",Salary and Benefits,0.09273622929018464,240
Very poor progress and employs to given third-party contract..no job safe so contract you work only per year renew your contract no pramosan you can join supervis....and retired supervis...this government responsible to work. No. Life no change,"Very poor progress, third-party contract, no job, contract, year, your contract, supervis, retired supervis, this government, work, Life",Work-Life Balance,0.15830227249267026,241
"It's best company in comparison to other Indian and foreign company.best salary offered, good work culture, learning atmosphere.supportive staff.i recommend to join this company. Learn too much, good salary. No cons","best company, comparison, other Indian and foreign company.best salary, good work culture, atmosphere.supportive staff.i recommend, this company, too much, good salary, No cons",Company Culture and Management,0.33264207714763705,242
I am pleased to work with adani family. It's a enjoyable time with with owner family members. I am getting all kind of facilities and good manner and respect. Free fooing ang logging. 12 hours duty,"adani family, a enjoyable time, owner family members, facilities, good manner, respect, ang logging, 12 hours duty",Work-Life Balance,0.0,243
"Lots Of projects, Team Management, PRofessional Work Culture Lunch time is the most enjoyable We travel a lot for unlimited project, although allowance available. Sometimes you can't being sociable in family. High Pay scale. Poor Management, higher authority give their responsibilities to junior as well if you show your extra skills.","Lots, projects, Team Management, PRofessional Work Culture Lunch time, a lot, unlimited project, allowance, family, High Pay scale, Poor Management, higher authority, their responsibilities, your extra skills",Company Culture and Management,0.24436954385340776,244
I am filling proud to be a part of Adani group. Adani group is fastest growing group in India. Always good opportunity is there for learning new things.,"a part, Adani group, Adani group, fastest growing group, India, Always good opportunity, new things",Work-Life Balance,0.0,245
"Nice company to work with. Very good practice of HR admin and Top management. A group in which you can grow and achieve heights. Led by group of best professional. Flights, Tours, Training. Nothing","Nice company, Very good practice, HR admin and Top management, A group, heights, group, Flights, Tours, Training",Company Culture and Management,0.25024885395324875,246
"The job at Adani is good and tremendous scope is there for managers to grow with competitive advantage. The timing of the office is excellent and salary is the best part. However, be loyal and be global is the advice. Excellent projects. Hierarchy","The job, Adani, good and tremendous scope, managers, competitive advantage, The timing, the office, salary, the best part, the advice, Excellent projects, Hierarchy",Salary and Benefits,0.10790994558403601,247
"My Over all review for Adani Group is excellent , They have good growth opportunities and work culture . The company takes good care of their employees and provide Meals at Cafeteria at subsidized rates. The company also take care of Health and we'll beibg of employees by regularly getting health check done along with In house Yoga Instructor . Brand. Long hours","all review, Adani Group, good growth opportunities, work culture, The company, good care, their employees, Meals, Cafeteria, subsidized rates, The company, care, Health, employees, health check, house Yoga Instructor, Brand, Long hours",Company Culture and Management,0.19219649063582644,248
good working culture and having good work exposure . worked in different position and location and various varticals. very good org and feel proud working in such org. productive. ok,"good working culture, good work exposure, different position, location, various varticals, very good org, such org",Company Culture and Management,0.08167851764339323,249
Reporting authority not evaluate each and every kra & kpi under department working only according gesture evaluation done and job transfer frequently to far.,"Reporting authority, every kra, kpi, department, gesture evaluation",Work-Life Balance,0.0,250
Timely reporting stock statement Due date follow up audit in time period stock taking with auditor debtors controlling SAP implimatattion ledger work and petty cash maintened. free lunch. on due date only,"stock statement, audit, time period stock, auditor debtors, SAP implimatattion ledger work, petty cash, free lunch, due date",Work-Life Balance,0.0720473328789453,251
"Starting Days Was Worst Because There Are No Time To Leave Office Its Depends Upon Your Manager Mood After One Month Its Good Because I Know Alsmost Every Rules How To Work. Good Office Environment, Office Design, Office Place. My Manager Is Not Behaving Good With Us","Starting Days, No Time, Office, Its Depends, Your Manager, One Month, Alsmost, Every Rules, Good Office Environment, Office Design, Office Place, My Manager",Work-Life Balance,0.0,252
"Its a good place to work, however, a little stressful due to longer working hours. Standards are good, Have a very beautiful well maintained office head quarter in Ahmedabad, Gujarat, India. Many good policies, Job security, Great office buidling. Long Hours","Its a good place, longer working hours, Standards, a very beautiful well maintained office head quarter, Ahmedabad, Gujarat, India, Many good policies, Job security, Great office, Long Hours",Job Security,0.20956792118646786,253
"I have more than 15 years experience in construction of thermal power plant and solar plant, specialist in construction of thermal Supercritical and Subcritical boiler and it's auxiliaries and solar plant, solar manufacturing units.","more than 15 years experience, construction, thermal power plant, solar plant, specialist, construction, thermal Supercritical and Subcritical boiler, it's auxiliaries and solar plant, solar manufacturing units",Salary and Benefits,0.05996619274743979,254
It's a very nice place to work they have a very e immunity full township they have good facilities for transportation from home to work place they have a very good work culture they have a very good work life balance they appreciate good working people they have lot of trainings to improve yourself the top management or you can say owners are very open you can go and directly meet them they you can say anything whatever you want it so I like to work in this company,"a very nice place, a very e immunity full township, good facilities, transportation, home, work place, a very good work culture, a very good work life balance, good working people, lot, trainings, the top management, owners, this company",Work-Life Balance,0.274196928030785,255
"Considering, the current scenario in power business, ADANI is doing best and the policies are crystal clear. The work places are very well hygeinic and work culture is good. Best in Power Sector. Salaries are comparatively less, but looking at other aspects, its Good.","the current scenario, power business, ADANI, the policies, The work places, hygeinic and work culture, Power Sector, Salaries, other aspects",Skill Development and Work Satisfaction,0.12825499391141074,256
"Fully empowered workplace, supported by leadership, challenging opportunities, work life balance, employee friendly environment and best in class office and tools available, great teamwork","Fully empowered workplace, leadership, challenging opportunities, work life balance, employee friendly environment, class office, tools, , great teamwork",Work-Life Balance,0.34419785773999545,257
A nice place to work with like minded people. Had a great exposure in meeting compliance requirement of GST and HST returns. Was associated with litigation team for appeals and assessments.,"A nice place, like minded people, a great exposure, meeting compliance requirement, GST and HST returns, litigation team, appeals, assessments",Salary and Benefits,0.04626225433759683,258
Doesnt care anything about its employee. Worst work life balance. Discrimination between a bcom graduate and an engineer after they are recruited at an MBA level in terms of salary.,"its employee, Worst work life balance, Discrimination, a bcom graduate, an engineer, an MBA level, terms, salary",Work-Life Balance,0.3369656008997733,259
Company is excellent and working staff is supportive and good facilities and all things like hospitality and job security is excellent and lots of other benefits here,"Company, excellent and working staff, supportive and good facilities, all things, hospitality, job security, lots, other benefits",Job Security,0.3039067555239453,260
"It was great experience working with Adani, there were lot of learnings which help me to develop professionally and personally. Overall it was great that i started with FMCG company","great experience, Adani, lot, learnings, FMCG company",Company Culture and Management,0.15208956516123456,261
"Good company to work if you able to handel pressure. Brand loyality is good, managment is supportive, must capable to handel big business, business size is big.","Good company, pressure, Brand loyality, managment, big business, business size",Company Culture and Management,0.11505140535703817,262
Good company in India for work. Management and working life is very perfectly. Easily understand the problems of employees. Work culture is very enjoyable.,"Good company, India, work, Management, working life, the problems, employees, Work culture",Company Culture and Management,0.40269783218183774,263
Hard work...... In the company And management are very good Company is very reputed.but more than 50% work are contractor or contract basis In this company high level sefty are ferferred,"Hard work, the company, management, very good Company, very reputed.but more than 50% work, contractor, contract basis, this company high level sefty",Company Culture and Management,0.3142018320501851,264
That's good company good work experience is learn at adani power plant Nice engineer to do a work at helping a work. Greet management at adani power limited,"good company good work experience, adani power plant, Nice engineer, a work, a work, Greet management, adani power",Work-Life Balance,0.19943061212126986,265
अदानी कंपनी बहुत बढ़िया कंपनी है जो कि जहां पर सबसे बड़ा पावर प्लांट पाया गया वहां का वर्क फैसिलिटी सब बढ़िया है ओन्ली सैलरी जैसे हमने वहां से कार्य छोड़ दिया है,"अदानी कंपनी बहुत, बड़ा पावर, पाया गया वहां का वर्क फैसिलिटी, बढ़िया, ओन्ली सैलरी जैसे हमने, दिया है",Work-Life Balance,0.0,266
Salary is not as per the work load. Too much hierarchy. Have to work even on weekends. Minimum 12 hrs of work on a daily basis. Increment is not as per industry standards,"Salary, the work load, Too much hierarchy, weekends, Minimum 12 hrs, work, a daily basis, Increment, industry standards",Work-Life Balance,0.15570735919438278,267
"Balanced work life with better environment ,Job occurs at various locations in india, career growth is not enough with adani.","Balanced work life, better environment, Job, various locations, india, career growth, adani",Work-Life Balance,0.24413906767343385,268
ts good company. Great people hardworking people. nice work culture . Good business projects Good work ethics Good caring people. Good flexible tuning. Good corporate culture,"good company, Great people, people, nice work culture, Good work ethics, Good caring people, Good flexible tuning, Good corporate culture",Company Culture and Management,0.1826290078916354,269
"If you are looking towards learning, unlearning and growing with the organization, Adani is the best for you. The workplace culture is very good with no formal hierarchy in place. You are welcome to engage directly with senior leadership.","the organization, Adani, The workplace culture, no formal hierarchy, place, senior leadership",Company Culture and Management,0.10631507773376599,270
Very big plant and very good job culture. Good spare part management. Good co-worker. Safe and sample work condition. Desalination Water plant is good condition.,"Very big plant, very good job culture, Good spare part management, Good co, worker, Safe and sample work condition, Desalination Water plant, good condition",Company Culture and Management,0.1618274667091622,271
Good company for knowledge gain.for work it is good you can get enough time for family. Location is ok and growing with lip and bounce.overall good experience.,"knowledge, work, enough time, family, Location, lip, bounce.overall good experience",Work-Life Balance,0.09817655938260997,272
"Good company & management. I learned a lot from this organization. My boss was very amazing personality and hardworking. Whatever I learned from this organization, has implemented in my current work place.","Good company, management, a lot, this organization, My boss, very amazing personality, hardworking, this organization, my current work place",Company Culture and Management,0.17348852353931848,273
"Point :- Technical skills developed and career growth, financial growth Job a best reforms and good things Skills developed target sauces lifestyle.","Technical skills, financial growth Job, Skills, target sauces lifestyle",Job Security,0.16216471065654736,274
Good environment and good working people to grow with them. Supportive company where you can grow your self in the logistics and terminal industry....,"Good environment, good working people, Supportive company, your self, the logistics and terminal industry",Company Culture and Management,0.14670437215854804,275
Very nice experience here for independent working in the company. Infrastructure is good. Working condition are fine. canteen facility & transportation to the working site from residence is good.,"Very nice experience, the company, Infrastructure, Working condition, canteen facility, transportation, the working site, residence",Company Culture and Management,0.09098878618143459,276
You can learn & develop your self as the company has got most advanced technology. But due to lot of competition you can hardly grow here. Township is best for your family.,"your self, the company, most advanced technology, lot, competition, Township, your family",Company Culture and Management,0.10631507773376599,277
The company is fever of employees and any activity because good place for the work and the work doing well I hope the company all over staff are very interested because the company will be near of me and the company thought for employees and anyone also good for 8hour shift of company thanks for this,"The company, fever, employees, any activity, the work, the company, staff, the company, the company, employees, 8hour shift, company thanks",Company Culture and Management,0.2683150390772317,278
Handling of break bulk and bulk cargo Vessel planning  Coordination with Client charter owners and port captain. Day to day operational performance and achivement of productivity norms for vessel.,"break bulk, bulk cargo, Coordination, Client charter owners, port captain, day, achivement, productivity norms, vessel",Work-Life Balance,0.0,279
Yaha salary bohot late dete h or bolte ese hi aayegiagar jar sakte ho kro nhi bhag jao that not respectval pepoul thear company ........................,"Yaha salary bohot, late dete h, bolte, ese hi aayegiagar jar, sakte ho kro nhi bhag jao, that not respectval pepoul thear company",Salary and Benefits,0.10361712292119117,280
Very aggressive and stessed work culture. But management cares for their employees and their families. Learning and growth is the one important factor and is compulsory for every one. Mangement gives opportunity for careeer growth to internal talent. Good working culture. Thanks,"Very aggressive and stessed work culture, management, their employees, their families, Learning, growth, the one important factor, Mangement, opportunity, careeer growth, internal talent, Good working culture, Thanks",Company Culture and Management,0.26249163459243485,281
"Good place to work at and has massive footprints in Energy, Resource & Logistics. Decision making is quick at Top most level, however, second line of management is learning the ropes. Employee benevolent fund. Centralized decision making","Good place, massive footprints, Energy, Resource, Logistics, Decision making, Top most level, second line, management, the ropes, Employee benevolent fund, Centralized decision",Company Culture and Management,0.08081791534961773,282
this is a place where you can learn good things. It is a place which gives you new opportunity. it is good for future. I always feel proud to work here.,"a place, good things, a place, new opportunity, future",Work-Life Balance,0.0,283
"stress full work for GT and Mordern Tarde. take meeting for late night till 1AM, unnecessary work load, HR and seniors are not much supporting, timing 9.30Am till manager wants,","full work, GT, Mordern Tarde, meeting, late night, unnecessary work load, HR, seniors, 9.30Am, manager",Work-Life Balance,0.1642325065390748,284
"Adani group is fast growing organisation and one of the best employer in Gujarat. I worked in Port Planning, Healthcare and many other Architectural projects going under the company. It was a great experience working with Adani Group. The group is also expanding in many country level verticals.","Adani group, fast growing organisation, the best employer, Gujarat, Port Planning, Healthcare, many other Architectural projects, the company, a great experience, Adani Group, The group, many country level verticals",Company Culture and Management,0.05951071036415798,285
Good not working style good. Some extent good and some level warning attached and atmosphere. But overall all health insurance marketplace category for HR.,"Good not working style, Some extent, some level warning, But overall all health insurance marketplace category, HR",Work-Life Balance,0.0,286
Nice company work culture and policies are too much good. I recommend to all kindly try to join this group . Increment and bonous also very good . This is a employee orientation company,"Nice company, culture, policies, this group, Increment, a employee orientation company",Company Culture and Management,0.3851640793739994,287
A good working condition and individual development environment. Good guidance by seniors and management for better delivery of assigned work. Over all a satisfactory place to work.,"A good working condition, individual development environment, Good guidance, seniors, management, better delivery, assigned work, all a satisfactory place",Skill Development and Work Satisfaction,0.14920871174039574,288
Every working with something new. Learned much more than in expected in sales field. Management is very very good. very very good culture in working with Adani. Hardest day of the job in target is not achieved in the given specifically.,"sales field, Management, very very good culture, Adani, Hardest day, the job, target",Company Culture and Management,0.22126384273336155,289
This is one of the best company to work with. I will appreciate if I will be able to get a chance to work again. Work culture of the company is very good and nice.,"the best company, a chance, Work culture, the company",Company Culture and Management,0.39465939575731945,290
Limited area but experience is good.my work place at Ahmedabad and landscape area is limited.knowledge improvement is not possible and some administration problem. so I leave job.,"Limited area, experience, good.my work place, Ahmedabad and landscape area, limited.knowledge improvement, some administration problem, job",Job Security,0.11714451836246828,291
For amount of work done we don't get enough salary.Management is very toxic and there is lot of favoritism on offer.People who stick here are those who have no higher ambition in life.Top level management don't listen to grievances or pay heed to it.Compromise on Safety and Quality is done on regular basis.,"work, enough salary, Management, lot, favoritism, offer, People, no higher ambition, life, Top level management, grievances, heed, Compromise, Safety, Quality, regular basis",Work-Life Balance,0.1731316995629261,292
"This organisation is an edible product like Oil, pulsed,besan, rice and wheat flour . Product is good and market is good but overall is ok for employee. Company is good policy but managment and other things is not fruitful.","This organisation, an edible product, Oil, rice, wheat flour, Product, market, employee, Company, good policy, managment, other things",Company Culture and Management,0.08864803209225562,293
It gives a deep dive into the FMCG industry and acts as a great launchpad to kickstart the career. There are ample profiles available across the company functions which give an opportunity to have hands on experience into multiple domains within the same company.,"a deep dive, the FMCG industry, a great launchpad, the career, ample profiles, the company functions, an opportunity, hands, experience, multiple domains, the same company",Company Culture and Management,0.13156364444357888,294
"We have meet the work deadline , lot of regular training provided by the company which generally has develop good work skills. The management was very aggressive in development in business and we have many business verticals so we have different business exposure.","the work deadline, regular training, the company, good work skills, The management, development, business, many business verticals, different business exposure",Skill Development and Work Satisfaction,0.1609543667345436,295
"As I am the part of sourcing and procurement team, so do take care for Procurement and servicea. The team and the management are supportive . Also having Good environment for working.","the part, sourcing and procurement team, care, Procurement, servicea, The team, the management, Good environment",Company Culture and Management,0.1159512976775181,296
"When the company is dealing in the large scale of business though the management is thinking for the each of its employee so i think the company doesn't require any review from its any of the family member, in short it is fantastic place to work.","the company, the large scale, business, the management, the each, its employee, the company, any review, its any, the family member, fantastic place",Company Culture and Management,0.16423945802363127,297
"Great workplace, Management, ceo sir, culture and job security, salary very good. I am very happy to work with adani Wilmar ltd and I am feeling proud with our company.","Great workplace, Management, ceo sir, culture, job security, adani Wilmar ltd, our company",Company Culture and Management,0.3906368501792745,298
"Hectic life. no role clarity. no career growth. very less increment level politics, toxic work culture irregular work flow. flexible working hours. Boss driven.","Hectic life, no role clarity, no career growth, very less increment level politics, toxic work culture irregular work flow, flexible working hours, Boss",Work-Life Balance,0.23190646172621276,299
There was no clarity of role for the professionals at the Leadership Positions and thus there used to be very high level of attrition in almost all the functions,"no clarity, role, the professionals, the Leadership Positions, very high level, attrition, almost all the functions",Work-Life Balance,0.0,300
"honestly, it was very useful to work with them and i have learned many things over there in customs clearance logistics part and even new skills SAP above and over all i got a great opportunity there with adani group","many things, customs clearance logistics part, even new skills, a great opportunity, adani group",Work-Life Balance,0.0,301
"Its belongs to Adani group. Very big company in Indian market. They have Shipping, port , mining,power. This is billionaire market share company. Very strong supply chain.","Adani group, Very big company, Indian market, Shipping, port, mining, power, billionaire market share company, Very strong supply chain",Company Culture and Management,0.1614073023355815,302
