Review,,Rating,Document_ID,Dominant_Topic,Topic_Perc_Contrib,Topic_Name,Topic_Keywords
Had a Worst experience to shopping with them 😒. I ordered 2 items and i returned both but i got refund for one items. I called them and i told them the issue they told me they will check. Then i called them 3 times in 3 days but now they're telling me that they received 1 item. But i return both items. If they received 1 items then when i make a 1st complaint they have to let me know. Now they are hiding their mistake with lies.,,1,99,0,0.9385,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
It buffers at the time of checkout. Also as mentioned shipping free on 200+ order & 10% off on ENBD card. 10% on ENBD card was adjusted with shipping fee which is ridiculous. What is mentioned is not delivered.,,1,100,2,0.9701,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
Cute 😍💖,,5,101,1,0.6759,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
good,,5,102,0,0.3333,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
Nice to use,,5,103,0,0.6488,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
55☺️}8 io 👍🏻👍🏻on ⁹t💪3😍gatt,,4,104,0,0.6639,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
Not open app problem 😕,,2,105,0,0.3333,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
Great,,5,106,1,0.756,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
🤡,,5,107,1,0.6552,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
XD de ft to see de,,5,108,0,0.3333,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
Good service..,,5,109,0,0.3333,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
افضل واحسن وأسرع تعامل .نوعية. توصيل,,5,110,0,0.6487,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
I can't open the app. Phone: Huawei Y7 Prime 2018,,1,111,0,0.3333,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
love it👍🏻👍🏻,,5,112,0,0.7944,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
Very slow.,,2,113,1,0.6647,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
I'm never gonna shop online. The worst delivery service of ksa,,1,114,0,0.6525,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
للامانه موقع مرتب و اسعار تنافسيه و تنوع جيد وجوده مقبوله مقابل القسمه وسياسه الاسترجاع سهله جدا و ممتازه,,5,115,2,0.8521,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
Great shopping application,,5,116,0,0.3333,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
yaa its really good app abd good price available,,5,117,1,0.8241,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
Good,,5,118,0,0.8605,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
Amazing service,,5,119,0,0.6488,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
Nice and happy,,5,120,0,0.6654,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
tree ¾5Àà⅝4ßs⁴ssss E45 no ⅘ see this no TT 4⁵,,3,121,0,0.4616,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
I like the iconic collection a llot,,5,122,0,0.3333,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
best and easy,,4,123,1,0.7621,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
very good,,5,124,1,0.7709,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
It is not working on android version 8,,2,125,0,0.6488,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
Worst experience purchase time😏,,1,126,1,0.8143,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
Very good app for shopping branded apparels in KSA,,5,127,2,0.8033,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
Eks,,1,128,1,0.8137,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
Apps not working on huawei mate10 android version 8.0,,1,129,0,0.3333,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
Very bad 👎,,1,130,1,0.5338,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
Fraud,,1,131,0,0.3333,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
amazing,,5,132,0,0.6639,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
Very slow and bad experience,,2,133,0,0.6655,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
nice,,5,134,0,0.6318,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
A out standing platform,,5,135,0,0.6639,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
nice collection,,5,136,0,0.3333,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
Very very bad 👎🏻,,1,137,0,0.7529,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
got crazy deals on White Wednesday 😇,,5,138,0,0.3333,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
Okijhgdg and I have a good feeling for gfff£-,,5,139,1,0.6647,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"Just a wonderful experience, 10/10 👏",,5,140,0,0.6488,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
👍,,5,141,2,0.6303,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
Very happy,,5,142,0,0.3333,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
awesome,,5,143,2,0.6602,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
Good products,,5,144,0,0.3333,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
Worst apppp,,1,145,0,0.7427,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
Very poor application system and customer service,,1,146,1,0.6156,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"Be clear with offer. App shows 10% extra off on ANB cards, but not given the promotion code.",,1,147,1,0.4636,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
good Clouth sailing i likee it,,5,148,2,0.8955,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
Worst App No proper customer support.,,1,149,0,0.6488,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
Bad,,1,150,2,0.7286,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
i didnt see the product yet,,4,151,0,0.3333,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
Bad performance now buffered after development.,,1,152,1,0.7735,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
Amazing and best quality in the world,,5,153,0,0.7721,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
good product,,5,154,0,0.8231,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
Good 👍,,5,155,1,0.6812,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"Too much ad, Very very irritating",,1,156,0,0.6488,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
A very quick delivery good quality.,,5,157,0,0.6655,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
Good experience in online order,,5,158,0,0.8305,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
It doesn't open at all,,1,159,2,0.5535,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
excellent,,5,160,1,0.6517,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"1st time i make order but have mistaken, anyway its ok they are response my returning item..",,3,161,1,0.6634,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
I give the advice For all people must you see splash product quality is good price is good,,5,162,0,0.8307,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
👎🏼👎🏼👎🏼 ☹️,,1,163,0,0.6818,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
We can get so many things wowwww woowww🤣🤣🤣🤣😁😁😁😁,,5,164,0,0.3333,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
my account automatically logged out and cannot log in anymore..,,1,165,0,0.6552,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
I already paurchase same item that was damaged,,2,166,0,0.8127,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
Worst ever experience buying from this as the delivery man did not even wait for 5 minutes and on the first call he is saying if you can come within 2 minutes i will wait otherwise i will leave how can someone on the first call say like that ? Do he has manner to talk ? I am going to uninstall this app and never gonna buy anything from splash anymore,,1,167,0,0.7561,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
number one app,,5,168,2,0.9521,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
numbahwan,,5,169,2,0.656,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
Bad customer service,,1,170,0,0.3333,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
